Date,TGT
2015-02-13,0.52
2015-05-18,0.52
2015-08-17,0.56
2015-11-16,0.56
2016-02-12,0.56
2016-05-16,0.56
2016-08-15,0.6
2016-11-14,0.6
2017-02-13,0.6
2017-05-15,0.6
2017-08-14,0.62
2017-11-14,0.62
2018-02-20,0.62
2018-05-15,0.62
2018-08-14,0.64
2018-11-20,0.64
2019-02-19,0.64
2019-05-14,0.64
2019-08-20,0.66
2019-11-19,0.66
2020-02-18,0.66
2020-05-19,0.66
2020-08-18,0.68
2020-11-17,0.68
2021-02-16,0.68
2021-05-18,0.68
2021-08-17,0.9
2021-11-16,0.9
2022-02-15,0.9
2022-05-17,0.9
2022-08-16,1.08
2022-11-15,1.08
2023-02-14,1.08
2023-05-16,1.08
2023-08-15,1.1
2023-11-14,1.1
2024-02-20,1.1
2024-05-14,1.1
2024-08-21,1.12
2024-11-20,1.12
2025-02-12,1.12
2025-05-14,1.12
2025-08-13,1.14
2025-11-12,1.14
2026-02-11,1.14
2026-05-13,1.14
